Player,Pos,NBAID
A.C. Green,PF,920
A.J. Bramlett,C,1920
A.J. Guyton,PG,2062
A.J. Hammons,C,1627773
A.J. Price,"PG, SG",201985
Aaron Brooks,PG,201166
Aaron Gordon,"PF, SF",203932
Aaron Gray,C,201189
Aaron Harrison,SG,1626151
Aaron Henry,SF,-1
Aaron Holiday,PG,1628988
Aaron Jackson,PG,1628935
Aaron McKie,"PG, SF, SG, SG-SF",243
Aaron Miles,PG,101223
Aaron Nesmith,SF,-1
Aaron Wiggins,SG,-1
Aaron Williams,"C, PF",1425
Abdel Nader,SF,1627846
Acie Law,PG,201151
Adam Harrington,SG,2492
Adam Keefe,"C, PF",228
Adam Mokoka,"SF, SG",1629690
Adam Morrison,"PF, SF",200747
Ade Murkey,SG,-1
Admiral Schofield,"PF, SF",1629678
Adonal Foyle,C,1502
Adonis Jordan,PG,1817
Adonis Thomas,SF,203519
Adreian Payne,PF,203940
Adrian Caldwell,PF,154
Adrian Griffin,"SF, SG, SG-SF",1559
Ahmad Caver,PG,-1
Al Harrington,"C, PF, SF",1733
Al Horford,C,201143
Al Jefferson,"C, PF",2744
Al Thornton,"PF, SF, SF-PF",201154
Al-Farouq Aminu,"PF, SF",202329
Alan Anderson,"SF, SG",101187
Alan Henderson,"C, PF, SF",673
Alan Williams,"C, PF",1626210
Alando Tucker,"SF, SG",201169
Alec Burks,"SF, SF-SG, SG",202692
Alec Peters,PF,1628409
Aleem Ford,SF,-1
Aleksandar Radojević,C,1893
Aleksej Pokusevski,PF,-1
Alen Smailagić,"C, PF",1629346
Alex Acker,SG,101165
Alex Caruso,"PG, SG",1627936
Alex Garcia,SG,2682
Alex Kirk,C,203945
Alex Len,C,203458
Alex Poythress,PF,1627816
Alex Scales,SG,2637
Alex Stepheson,PF,1627293
Alexander Johnson,PF,200792
Alexey Shved,SG,203144
Alexis Ajinça,"C, PF",201582
Alfonzo McKinnie,SF,1628035
Alize Johnson,PF,1628993
Allan Houston,SG,275
Allan Ray,SG,200810
Allen Crabbe,"SF, SG, SG-SF",203459
Allen Iverson*,"PG, PG-SG, SG, SG-PG",947
Allonzo Trier,SG,1629019
Alonzo Gee,"SF, SG",202087
Alonzo Mourning*,"C, C-PF, PF",297
Alperen Şengün,C,-1
Alton Ford,PF,2228
Alton Lister,C,175
Alvin Jones,C,2264
Alvin Sims,SG,1591
Alvin Williams,"PG, SG",1541
Amal McCaskill,C,1043
Amar'e Stoudemire,"C, PF",2405
Amida Brimah,C,1628578
Amile Jefferson,PF,1628518
Amir Coffey,SG,1629599
Amir Johnson,"C, PF, SF",101161
Anderson Varejão,"C, PF",2760
Andrae Patterson,PF,1754
Andray Blatche,"C, PF",101154
Andre Barrett,PG,2857
Andre Brown,PF,2810
Andre Dawkins,SG,203958
Andre Drummond,C,203083
Andre Emmett,"SF, SG",2765
Andre Iguodala,"SF, SG",2738
Andre Ingram,SG,201281
Andre Miller,"PG, SG",1889
Andre Owens,PG,101261
Andre Roberson,"SF, SG",203460
Andrea Bargnani,"C, PF",200745
Andreas Glyniadakis,C,2601
Andrei Kirilenko,"PF, SF",1905
Andrew Bogut,"C, PF",101106
Andrew Bynum,C,101115
Andrew DeClercq,C,692
Andrew Gaze,SG,1845
Andrew Goudelock,"PG, SG",202726
Andrew Harrison,PG,1626150
Andrew Lang,C,457
Andrew Nicholson,PF,203094
Andrew White,SF,-1
Andrew Wiggins,"PF, SF",203952
Andris Biedriņš,C,2740
Andrés Nocioni,"PF, PF-SF, SF",2804
Andy Panko,SF,1950
Andy Rautins,SG,202360
Anfernee Hardaway,"SF, SG",358
Anfernee Simons,SG,1629014
Ansu Sesay,SF,1738
Antawn Jamison,"PF, SF",1712
Ante Žižić,C,1627790
Anthony Avent,PF,138
Anthony Bennett,PF,203461
Anthony Bowie,SG,194
Anthony Brown,SF,1626148
Anthony Carter,PG,1853
Anthony Davis,"C, PF",203076
Anthony Edwards,SG,-1
Anthony Gill,PF,-1
Anthony Goldwire,PG,924
Anthony Grundy,SG,101219
Anthony Johnson,"PG, SG",1533
Anthony Lamb,SF,-1
Anthony Mason,"C, PF, SF",193
Anthony Miller,PF,292
Anthony Morrow,SG,201627
Anthony Parker,"SF, SG",1515
Anthony Peeler,SG,324
Anthony Randolph,"C, C-PF, PF",201576
Anthony Roberson,PG,101194
Anthony Tolliver,"PF, SF",201229
Antoine Carr,"PF, SF",156
Antoine Rigaudeau,SG,2541
Antoine Walker,PF,952
Antoine Wright,"SF, SG",101120
Antonio Anderson,SF,202079
Antonio Blakeney,SG,1628469
Antonio Burks,PG,2766
Antonio Daniels,"PG, SG",1498
Antonio Davis,"C, PF, PF-C",213
Antonio Harvey,PF,176
Antonio Lang,"PF, SF",226
Antonio McDyess,"C, PF",686
Antonis Fotsis,PF,2238
Antonius Cleveland,SG,1628499
Anžejs Pasečņiks,C,-1
Archie Goodwin,"PG, SG",203462
Arinze Onuaku,"C, PF",202620
Armen Gilliam,PF,288
Armon Johnson,PG,202356
Armoni Brooks,"PG, SG, SG-PG",1629717
Arnett Moultrie,PF,203102
Arnoldas Kulboka,SF,-1
Aron Baynes,C,203382
Arron Afflalo,"SF, SG",201167
Art Long,PF,1609
Arvydas Macijauskas,SG,101178
Arvydas Sabonis*,C,717
Ashton Hagans,PG,-1
Austin Croshere,PF,1506
Austin Daye,SF,201948
Austin Reaves,SG,-1
Austin Rivers,"PG, PG-SG, SG",203085
Avery Bradley,"PG, SG",202340
Avery Johnson,PG,422
Awvee Storey,"SF, SG",2852
Axel Toupane,SF,1626253
Ayo Dosunmu,SG,-1
B.J. Armstrong,PG,769
B.J. Johnson,SF,1629168
Bam Adebayo,"C, PF",1628389
Baron Davis,PG,1884
Ben Bentil,PF,1627791
Ben Davis,PF,989
Ben Gordon,SG,2732
Ben Handlogten,C,1052
Ben Hansbrough,PG,203162
Ben McLemore,"SF, SG",203463
Ben Moore,PF,1628500
Ben Simmons,PG,1627732
Ben Uzoh,PG,202386
Ben Wallace*,"C, C-PF, PF",1112
Beno Udrih,"PG, SG, SG-PG",2757
Benoit Benjamin,C,104
Bernard James,C,203108
Bernard Robinson,"SF, SG, SG-SF",2774
Bill Curley,"PF, SF, SF-PF",223
Bill Wennington,C,82
Billy Garrett,SG,1628656
Billy Owens,"PF, PF-SF, SF",182
Billy Thomas,"SF, SG",2873
Bimbo Coles,PG,902
Bismack Biyombo,C,202687
Bison Dele,C,183
Blake Ahearn,PG,201336
Blake Griffin,PF,201933
Blue Edwards,"SF, SG",898
Bo Outlaw,"C, PF",448
Bob McCann,SF,737
Bob Sura,"PG, SG",682
Boban Marjanović,C,1626246
Bobby Brown,"PG, SG, SG-PG",201628
Bobby Hurley,PG,310
Bobby Jackson,"PG, SG, SG-PG",1517
Bobby Jones,SF,200784
Bobby Phills,SG,184
Bobby Portis,"C, PF",1626171
Bobby Simmons,"PF, SF, SG",2250
Bogdan Bogdanović,SG,203992
Bojan Bogdanović,"PF, SF",202711
Bol Bol,PF,1629626
Bones Hyland,PG,-1
Boniface N'Dong,C,101238
Bonzi Wells,"SF, SG",1719
Bonzie Colson,SF,1629045
Boris Diaw,"PF, SG",2564
Boštjan Nachbar,"PF, PF-SF, SF",2411
Bracey Wright,SG,101152
Brad Lohaus,PF,38
Brad Miller,"C, PF",1802
Brad Wanamaker,PG,202954
Bradley Beal,SG,203078
Brandan Wright,"C, PF",201148
Branden Dawson,PF,1626183
Brandin Knight,PG,2688
Brandon Armstrong,SG,2220
Brandon Bass,"C, PF",101138
Brandon Boston Jr.,SG,-1
Brandon Clarke,PF,1629634
Brandon Davies,PF,203561
Brandon Goodwin,PG,1629164
Brandon Hunter,PF,2599
Brandon Ingram,"PF, SF",1627742
Brandon Jennings,PG,201943
Brandon Knight,"PG, PG-SG, SG, SG-PG",202688
Brandon Paul,SG,203464
Brandon Roy,SG,200750
Brandon Rush,"SF, SG",201575
Brandon Sampson,SG,1629102
Brandon Williams,"PG, SF, SG",1585
Braxton Key,SF,-1
Brendan Haywood,C,2217
Brent Barry,"SF, SG",699
Brent Price,PG,85
Brevin Knight,PG,1510
Brian Bowen,SF,-1
Brian Cardinal,"PF, SF",2073
Brian Cook,"C, PF",2567
Brian Evans,SF,967
Brian Grant,"C, PF, SF",258
Brian Oliver,SG,1680
Brian Roberts,PG,203148
Brian Scalabrine,"C, PF",2243
Brian Shaw,"PG, SG",216
Brian Skinner,"C, C-PF, PF, PF-C",1730
Briante Weber,PG,1627362
Brice Johnson,PF,1627744
Britton Johnsen,"C, SF",2639
Brodric Thomas,SG,-1
Brook Lopez,C,201572
Brooks Thompson,PG,240
Bruce Bowen,SF,1477
Bruce Brown,"PG, SF, SG",1628971
Bruno Caboclo,"C, PF, SF",203998
Bruno Fernando,C,1628981
Bruno Šundov,C,1743
Bryant Reeves,C,735
Bryant Stith,SG,179
Bryce Cotton,PG,203955
Bryce Dejean-Jones,SG,1626214
Bryce Drew,PG,1724
Bryn Forbes,SG,1627854
Bryon Russell,"SF, SG",935
Bubba Wells,SG,1528
Buck Williams,PF,433
